DB,DATABASE,DATABASE
OB,OBJECT,OBJECT
TY,TYPE,TYPE
SC,SCHEMA,SCHEMA
SX,XML SCHEMA COLLECTION,XML SCHEMA COLLECTION
AS,ASSEMBLY,ASSEMBLY
US,USER,USER
RL,ROLE,ROLE
AR,APPLICATION ROLE,APPLICATION ROLE
MT,MESSAGE TYPE,MESSAGE TYPE
CT,CONTRACT,CONTRACT
SV,SERVICE,SERVICE
BN,REMOTE SERVICE BINDING,REMOTE SERVICE BINDING
RT,ROUTE,ROUTE
FC,FULLTEXT CATALOG,FULLTEXT CATALOG
FL,FULLTEXT STOPLIST,FULLTEXT STOPLIST
FP,SEARCH PROPERTY LIST,SEARCH PROPERTY LIST
SK,SYMMETRIC KEY,SYMMETRIC KEY
CR,CERTIFICATE,CERTIFICATE
AK,ASYMMETRIC KEY,ASYMMETRIC KEY
DC,DATABASE SCOPED CREDENTIAL,DATABASE SCOPED CREDENTIAL
EL,EXTERNAL LIBRARY,EXTERNAL LIBRARY
SR,SERVER,SERVER
EP,ENDPOINT,ENDPOINT
SG,SERVER ROLE,SERVER ROLE
AG,AVAILABILITY GROUP,AVAILABILITY GROUP
LX,LOGIN,LOGIN
CK,COLUMN ENCRYPTION KEY,DATABASE
CM,COLUMN MASTER KEY,DATABASE
DA,DATABASE AUDIT SPECIFICATION,DATABASE
DU,AUDIT,DATABASE
DS,DATABASE SCOPED CONFIGURATION,DATABASE
DR,DATABASE SCOPED RESOURCE GOVERNOR,DATABASE
DN,EVENT NOTIFICATION DATABASE,DATABASE
DT,TRIGGER DATABASE,DATABASE
MK,MASTER KEY,DATABASE
DK,DATABASE ENCRYPTION KEY,DATABASE
ON,EVENT NOTIFICATION OBJECT,DATABASE
PF,PARTITION FUNCTION,DATABASE
PR,BROKER PRIORITY,DATABASE
PS,PARTITION SCHEME,DATABASE
DE,DATABASE EVENT SESSION,DATABASE
AQ,ADHOC QUERY,OBJECT
AF,AGGREGATE,OBJECT
AP,Undocumented,OBJECT
C ,CHECK CONSTRAINT,OBJECT
D ,DEFAULT,OBJECT
EN,EVENT NOTIFICATION,OBJECT
F ,FOREIGN KEY CONSTRAINT,OBJECT
FS,FUNCTION SCALAR ASSEMBLY ,OBJECT
FT,FUNCTION TABLE-VALUED ASSEMBLY ,OBJECT
FN,FUNCTION SCALAR SQL,OBJECT
IX,INDEX,OBJECT
IF,FUNCTION TABLE-VALUED INLINE SQL,OBJECT
IS,FUNCTION SCALAR INLINE SQL ,OBJECT
IT,INTERNAL TABLE,OBJECT
PQ,PREPARED ADHOC QUERY,OBJECT
PK,PRIMARY KEY,OBJECT
P ,STORED PROCEDURE,OBJECT
PC,STORED PROCEDURE ASSEMBLY,OBJECT
RF,STORED PROCEDURE REPLICATION FILTER,OBJECT
R ,RULE,OBJECT
SP,SECURITY POLICY,OBJECT
SO,SEQUENCE OBJECT,OBJECT
ST,STATISTICS,OBJECT
SQ,QUEUE,OBJECT
SN,SYNONYM,OBJECT
S ,TABLE SYSTEM,OBJECT
TF,FUNCTION TABLE-VALUED SQL,OBJECT
TA,TRIGGER ASSEMBLY,OBJECT
TR,TRIGGER,OBJECT
UQ,UNIQUE CONSTRAINT,OBJECT
U ,TABLE,OBJECT
V ,VIEW,OBJECT
X ,STORED PROCEDURE EXTENDED,OBJECT
XR,XREL TREE,OBJECT
AU,ASYMMETRIC KEY USER,USER
CU,CERTIFICATE USER,USER
GU,GROUP USER,USER
SU,SQL USER,USER
WU,WINDOWS USER,USER
A ,SERVER AUDIT,SERVER
CD,CREDENTIAL,SERVER
CP,CRYPTOGRAPHIC PROVIDER,SERVER
ED,EXTERNAL DATA SOURCE,DATABASE
EF,EXTERNAL FILE FORMAT,DATABASE
RG,RESOURCE GOVERNOR,SERVER
SA,SERVER AUDIT SPECIFICATION,SERVER
SD,EVENT NOTIFICATION SERVER,SERVER
T ,TRIGGER SERVER,SERVER
SE,EVENT SESSION,SERVER
CO,SERVER CONFIG,SERVER
AL,ASYMMETRIC KEY LOGIN,LOGIN
CL,CERTIFICATE LOGIN,LOGIN
SL,SQL LOGIN,LOGIN
WG,WINDOWS GROUP,LOGIN
WL,WINDOWS LOGIN,LOGIN
ER,EXTERNAL RESOURCE POOL,SERVER
EX,EXTERNAL SCRIPT QUERY,OBJECT
