SQLServer:Memory Broker Clerks                                                                                                  	Memory broker clerk size                                                                                                        	Buffer Pool                                                                                                                     	4708	65792
SQLServer:Memory Broker Clerks                                                                                                  	Simulation benefit                                                                                                              	Buffer Pool                                                                                                                     	0	65792
SQLServer:Memory Broker Clerks                                                                                                  	Simulation size                                                                                                                 	Buffer Pool                                                                                                                     	0	65792
SQLServer:Memory Broker Clerks                                                                                                  	Internal benefit                                                                                                                	Buffer Pool                                                                                                                     	0	65792
SQLServer:Memory Broker Clerks                                                                                                  	Periodic evictions (pages)                                                                                                      	Buffer Pool                                                                                                                     	0	65792
SQLServer:Memory Broker Clerks                                                                                                  	Pressure evictions (pages/sec)                                                                                                  	Buffer Pool                                                                                                                     	0	272696576
SQLServer:Memory Broker Clerks                                                                                                  	Memory broker clerk size                                                                                                        	Column store object pool                                                                                                        	8	65792
SQLServer:Memory Broker Clerks                                                                                                  	Simulation benefit                                                                                                              	Column store object pool                                                                                                        	0	65792
SQLServer:Memory Broker Clerks                                                                                                  	Simulation size                                                                                                                 	Column store object pool                                                                                                        	0	65792
SQLServer:Memory Broker Clerks                                                                                                  	Internal benefit                                                                                                                	Column store object pool                                                                                                        	0	65792
SQLServer:Memory Broker Clerks                                                                                                  	Periodic evictions (pages)                                                                                                      	Column store object pool                                                                                                        	0	65792
SQLServer:Memory Broker Clerks                                                                                                  	Pressure evictions (pages/sec)                                                                                                  	Column store object pool                                                                                                        	0	272696576
SQLServer:Buffer Manager                                                                                                        	Buffer cache hit ratio                                                                                                          	                                                                                                                                	39	537003264
SQLServer:Buffer Manager                                                                                                        	Buffer cache hit ratio base                                                                                                     	                                                                                                                                	39	1073939712
SQLServer:Buffer Manager                                                                                                        	Page lookups/sec                                                                                                                	                                                                                                                                	447862	272696576
SQLServer:Buffer Manager                                                                                                        	Free list stalls/sec                                                                                                            	                                                                                                                                	0	272696576
SQLServer:Buffer Manager                                                                                                        	Database pages                                                                                                                  	                                                                                                                                	4708	65792
SQLServer:Buffer Manager                                                                                                        	Target pages                                                                                                                    	                                                                                                                                	786432	65792
SQLServer:Buffer Manager                                                                                                        	Integral Controller Slope                                                                                                       	                                                                                                                                	10	65792
SQLServer:Buffer Manager                                                                                                        	Lazy writes/sec                                                                                                                 	                                                                                                                                	0	272696576
SQLServer:Buffer Manager                                                                                                        	Readahead pages/sec                                                                                                             	                                                                                                                                	162	272696576
SQLServer:Buffer Manager                                                                                                        	Readahead time/sec                                                                                                              	                                                                                                                                	46862	272696576
SQLServer:Buffer Manager                                                                                                        	Page reads/sec                                                                                                                  	                                                                                                                                	4707	272696576
SQLServer:Buffer Manager                                                                                                        	Page writes/sec                                                                                                                 	                                                                                                                                	15	272696576
SQLServer:Buffer Manager                                                                                                        	Checkpoint pages/sec                                                                                                            	                                                                                                                                	3	272696576
SQLServer:Buffer Manager                                                                                                        	Background writer pages/sec                                                                                                     	                                                                                                                                	0	272696576
SQLServer:Buffer Manager                                                                                                        	Page life expectancy                                                                                                            	                                                                                                                                	88	65792
SQLServer:Buffer Manager                                                                                                        	Extension page writes/sec                                                                                                       	                                                                                                                                	0	272696576
SQLServer:Buffer Manager                                                                                                        	Extension page reads/sec                                                                                                        	                                                                                                                                	0	272696576
SQLServer:Buffer Manager                                                                                                        	Extension outstanding IO counter                                                                                                	                                                                                                                                	0	65792
SQLServer:Buffer Manager                                                                                                        	Extension page evictions/sec                                                                                                    	                                                                                                                                	0	272696576
SQLServer:Buffer Manager                                                                                                        	Extension allocated pages                                                                                                       	                                                                                                                                	0	65792
SQLServer:Buffer Manager                                                                                                        	Extension free pages                                                                                                            	                                                                                                                                	0	65792
SQLServer:Buffer Manager                                                                                                        	Extension in use as percentage                                                                                                  	                                                                                                                                	0	65792
SQLServer:Buffer Manager                                                                                                        	Extension page unreferenced time                                                                                                	                                                                                                                                	0	65792
SQLServer:Buffer Node                                                                                                           	Database pages                                                                                                                  	000                                                                                                                             	4708	65792
SQLServer:Buffer Node                                                                                                           	Page life expectancy                                                                                                            	000                                                                                                                             	88	65792
SQLServer:Buffer Node                                                                                                           	Local node page lookups/sec                                                                                                     	000                                                                                                                             	0	272696576
SQLServer:Buffer Node                                                                                                           	Remote node page lookups/sec                                                                                                    	000                                                                                                                             	0	272696576
SQLServer:General Statistics                                                                                                    	Active Temp Tables                                                                                                              	                                                                                                                                	0	65792
SQLServer:General Statistics                                                                                                    	Temp Tables Creation Rate                                                                                                       	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	Logins/sec                                                                                                                      	                                                                                                                                	956	272696576
SQLServer:General Statistics                                                                                                    	Connection Reset/sec                                                                                                            	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	Logouts/sec                                                                                                                     	                                                                                                                                	953	272696576
SQLServer:General Statistics                                                                                                    	User Connections                                                                                                                	                                                                                                                                	3	65792
SQLServer:General Statistics                                                                                                    	Logical Connections                                                                                                             	                                                                                                                                	3	65792
SQLServer:General Statistics                                                                                                    	Transactions                                                                                                                    	                                                                                                                                	0	65792
SQLServer:General Statistics                                                                                                    	Non-atomic yield rate                                                                                                           	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	Mars Deadlocks                                                                                                                  	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	HTTP Authenticated Requests                                                                                                     	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	SOAP Empty Requests                                                                                                             	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	SOAP SQL Requests                                                                                                               	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	SOAP Method Invocations                                                                                                         	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	SOAP WSDL Requests                                                                                                              	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	SOAP Session Initiate Requests                                                                                                  	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	SOAP Session Terminate Requests                                                                                                 	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	Processes blocked                                                                                                               	                                                                                                                                	0	65792
SQLServer:General Statistics                                                                                                    	Temp Tables For Destruction                                                                                                     	                                                                                                                                	0	65792
SQLServer:General Statistics                                                                                                    	Event Notifications Delayed Drop                                                                                                	                                                                                                                                	0	65792
SQLServer:General Statistics                                                                                                    	Trace Event Notification Queue                                                                                                  	                                                                                                                                	0	65792
SQLServer:General Statistics                                                                                                    	SQL Trace IO Provider Lock Waits                                                                                                	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	Tempdb recovery unit id                                                                                                         	                                                                                                                                	0	272696576
SQLServer:General Statistics                                                                                                    	Tempdb rowset id                                                                                                                	                                                                                                                                	0	272696576
SQLServer:Locks                                                                                                                 	Lock Requests/sec                                                                                                               	RowGroup                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Lock Timeouts/sec                                                                                                               	RowGroup                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Number of Deadlocks/sec                                                                                                         	RowGroup                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Lock Waits/sec                                                                                                                  	RowGroup                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Lock Wait Time (ms)                                                                                                             	RowGroup                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Average Wait Time (ms)                                                                                                          	RowGroup                                                                                                                        	0	1073874176
SQLServer:Locks                                                                                                                 	Average Wait Time Base                                                                                                          	RowGroup                                                                                                                        	0	1073939712
SQLServer:Locks                                                                                                                 	Lock Timeouts (timeout > 0)/sec                                                                                                 	RowGroup                                                                                                                        	0	272696576
SQLServer:Locks                                                                                                                 	Lock Requests/sec                                                                                                               	OIB                                                                                                                             	0	272696576
SQLServer:Locks                                                                                                                 	Lock Timeouts/sec                                                                                                               	OIB                                                                                                                             	0	272696576
SQLServer:Locks                                                                                                                 	Number of Deadlocks/sec                                                                                                         	OIB                                                                                                                             	0	272696576
SQLServer:Locks                                                                                                                 	Lock Waits/sec                                                                                                                  	OIB                                                                                                                             	0	272696576
SQLServer:Locks                                                                                                                 	Lock Wait Time (ms)                                                                                                             	OIB                                                                                                                             	0	272696576
SQLServer:Locks                                                                                                                 	Average Wait Time (ms)                                                                                                          	OIB                                                                                                                             	0	1073874176
SQLServer:Locks                                                                                                                 	Average Wait Time Base                                                                                                          	OIB                                                                                                                             	0	1073939712
SQLServer:Locks                                                                                                                 	Lock Timeouts (timeout > 0)/sec                                                                                                 	OIB                                                                                                                             	0	272696576
SQLServer:Locks                                                                                                                 	Lock Requests/sec                                                                                                               	AllocUnit                                                                                                                       	0	272696576
SQLServer:Locks                                                                                                                 	Lock Timeouts/sec                                                                                                               	AllocUnit                                                                                                                       	0	272696576
SQLServer:Locks                                                                                                                 	Number of Deadlocks/sec                                                                                                         	AllocUnit                                                                                                                       	0	272696576
